1	5
1	173
1	174
1	187
1	194
1	197
1	200
2	6
2	7
2	33
2	102
2	106
2	119
2	199
3	165
3	174
3	180
3	186
3	196
3	197
3	200
4	52
4	71
4	78
4	86
4	102
4	106
4	191
5	1
5	64
5	156
5	167
5	175
5	180
5	188
6	2
6	104
6	106
6	162
6	174
6	188
6	199
7	2
7	33
7	44
7	71
7	102
7	106
7	180
8	22
8	53
8	65
8	67
8	87
8	88
8	154
9	57
9	156
9	184
9	187
9	194
9	196
9	197
10	106
10	155
10	158
10	184
10	185
10	194
10	196
11	26
11	139
11	145
11	156
11	169
11	170
11	188
12	112
12	126
12	143
12	164
12	169
12	181
12	199
13	45
13	64
13	97
13	116
13	125
13	140
13	169
14	18
14	22
14	53
14	87
14	88
14	166
14	188
15	25
15	91
15	125
15	180
15	190
15	192
15	198
16	22
16	124
16	150
16	163
16	189
16	197
16	200
17	20
17	27
17	150
17	164
17	176
17	181
17	195
18	14
18	53
18	65
18	66
18	84
18	87
18	192
19	164
19	188
19	189
19	190
19	191
19	193
19	198
20	17
20	125
20	131
20	136
20	168
20	176
20	181
21	23
21	44
21	83
21	96
21	100
21	113
21	128
22	8
22	14
22	16
22	53
22	65
22	66
22	171
23	21
23	67
23	72
23	75
23	76
23	83
23	186
24	37
24	67
24	88
24	101
24	142
24	144
24	193
25	15
25	125
25	138
25	166
25	175
25	187
25	197
26	11
26	28
26	85
26	127
26	180
26	182
26	198
27	17
27	45
27	50
27	56
27	61
27	89
27	194
28	26
28	147
28	177
28	179
28	183
28	197
28	199
29	53
29	89
29	150
29	187
29	194
29	196
29	200
30	39
30	42
30	94
30	109
30	135
30	172
30	175
31	93
31	117
31	136
31	154
31	185
31	193
31	198
31	199
32	61
32	120
32	161
32	194
32	195
32	196
32	197
32	200
33	2
33	7
33	52
33	78
33	102
33	106
33	181
33	186
34	37
34	109
34	123
34	132
34	142
34	143
34	144
34	145
35	44
35	54
35	72
35	75
35	78
35	83
35	100
35	185
36	75
36	170
36	186
36	190
36	191
36	192
36	197
36	198
37	24
37	34
37	60
37	109
37	142
37	144
37	165
37	192
38	43
38	50
38	89
38	189
38	192
38	196
38	197
38	200
39	30
39	126
39	133
39	167
39	170
39	172
39	188
39	195
40	83
40	98
40	121
40	156
40	167
40	170
40	175
40	188
41	46
41	86
41	141
41	151
41	186
41	189
41	190
41	191
42	30
42	103
42	130
42	168
42	182
42	187
42	190
42	192
43	38
43	79
43	90
43	121
43	122
43	144
43	152
43	154
44	7
44	21
44	35
44	75
44	76
44	96
44	100
44	169
45	13
45	27
45	90
45	151
45	162
45	179
45	183
45	189
46	41
46	80
46	90
46	139
46	166
46	172
46	175
46	188
47	127
47	138
47	161
47	184
47	194
47	196
47	197
47	200
48	67
48	101
48	109
48	123
48	142
48	144
48	169
48	176
49	56
49	61
49	79
49	93
49	121
49	122
49	166
49	194
50	27
50	38
50	89
50	93
50	135
50	146
50	151
50	153
51	58
51	89
51	101
51	109
51	123
51	142
51	144
51	170
52	4
52	33
52	71
52	78
52	102
52	106
52	130
52	153
52	187
53	8
53	14
53	18
53	22
53	29
53	65
53	87
53	126
53	144
54	35
54	81
54	108
54	141
54	162
54	177
54	179
54	183
54	199
55	70
55	148
55	163
55	174
55	175
55	183
55	194
55	197
55	200
56	27
56	49
56	73
56	89
56	90
56	93
56	121
56	143
56	151
57	9
57	76
57	96
57	100
57	173
57	180
57	188
57	193
57	198
58	51
58	60
58	109
58	123
58	132
58	142
58	144
58	159
58	165
59	103
59	157
59	171
59	174
59	184
59	187
59	196
