0 4 {}
0 7 {}
0 10 {}
0 12 {}
0 15 {}
0 18 {}
0 21 {}
0 27 {}
0 28 {}
1 7 {}
1 8 {}
1 10 {}
1 28 {}
2 3 {}
2 5 {}
2 13 {}
2 27 {}
2 28 {}
3 5 {}
3 6 {}
3 7 {}
3 8 {}
3 9 {}
3 11 {}
3 13 {}
3 14 {}
3 18 {}
3 29 {}
4 9 {}
4 10 {}
4 13 {}
4 14 {}
4 15 {}
4 19 {}
4 26 {}
5 9 {}
5 10 {}
5 13 {}
5 14 {}
5 20 {}
5 21 {}
5 24 {}
5 26 {}
5 27 {}
5 28 {}
5 29 {}
6 7 {}
6 11 {}
6 13 {}
6 15 {}
6 17 {}
6 19 {}
6 23 {}
7 8 {}
7 11 {}
7 13 {}
7 17 {}
7 20 {}
7 28 {}
8 12 {}
8 14 {}
8 20 {}
8 21 {}
8 22 {}
8 23 {}
8 25 {}
8 28 {}
9 14 {}
9 16 {}
9 17 {}
9 18 {}
9 19 {}
9 20 {}
9 21 {}
9 23 {}
9 25 {}
9 26 {}
10 12 {}
10 13 {}
10 15 {}
10 18 {}
10 23 {}
10 24 {}
10 25 {}
11 12 {}
11 14 {}
11 15 {}
11 26 {}
12 13 {}
12 29 {}
13 14 {}
13 18 {}
13 21 {}
14 15 {}
14 17 {}
14 19 {}
14 25 {}
14 26 {}
14 27 {}
15 17 {}
15 18 {}
15 19 {}
15 26 {}
15 27 {}
16 18 {}
16 19 {}
16 20 {}
16 24 {}
16 26 {}
17 19 {}
17 21 {}
17 22 {}
17 23 {}
17 26 {}
17 28 {}
18 19 {}
18 26 {}
19 20 {}
19 22 {}
19 23 {}
19 28 {}
20 24 {}
21 22 {}
21 24 {}
22 24 {}
22 25 {}
23 25 {}
24 25 {}
24 26 {}
25 26 {}
25 27 {}
26 29 {}
28 29 {}
