FloridaState 	BrighamYoung
KansasState 	Iowa
NewMexico 	BrighamYoung
TexasTech 	NewMexico
TexasTech 	KansasState
PennState 	Iowa
SouthernCalifornia 	PennState
ArizonaState 	SouthernCalifornia
SanDiegoState 	ArizonaState
SanDiegoState 	BrighamYoung
SanDiegoState 	NewMexico
Baylor 	TexasTech
NorthTexas 	Baylor
NorthTexas 	TexasTech
NorthTexas 	KansasState
Northwestern 	NorthernIllinois
Northwestern 	Iowa
WesternMichigan 	Iowa
WesternMichigan 	NorthernIllinois
Wisconsin 	WesternMichigan
Wisconsin 	Northwestern
Wisconsin 	Iowa
Wyoming 	NewMexico
Wyoming 	SanDiegoState
Wyoming 	BrighamYoung
Auburn 	Wyoming
Auburn 	NorthernIllinois
Akron 	NorthernIllinois
VirginiaTech 	Akron
Alabama 	Auburn
UCLA 	Alabama
UCLA 	ArizonaState
UCLA 	SouthernCalifornia
Arizona 	SanDiegoState
Arizona 	SouthernCalifornia
Arizona 	UCLA
Arizona 	ArizonaState
Utah 	Arizona
Utah 	SanDiegoState
Utah 	NewMexico
Utah 	Wyoming
Utah 	BrighamYoung
ArkansasState 	NorthTexas
NorthCarolinaState 	ArkansasState
NorthCarolinaState 	FloridaState
BallState 	KansasState
BallState 	NorthernIllinois
BallState 	WesternMichigan
Florida 	BallState
Florida 	Auburn
Florida 	FloridaState
BoiseState 	NewMexico
BoiseState 	NorthTexas
BoiseState 	ArkansasState
BostonCollege 	VirginiaTech
WestVirginia 	BostonCollege
WestVirginia 	VirginiaTech
BowlingGreenState 	Akron
Michigan 	BowlingGreenState
Michigan 	UCLA
Michigan 	Wisconsin
Michigan 	Northwestern
Michigan 	PennState
Virginia 	BrighamYoung
Virginia 	FloridaState
Virginia 	NorthCarolinaState
Virginia 	VirginiaTech
Buffalo 	BowlingGreenState
Buffalo 	BallState
Buffalo 	NorthernIllinois
Buffalo 	Akron
Syracuse 	Buffalo
Syracuse 	BrighamYoung
Syracuse 	BostonCollege
Syracuse 	VirginiaTech
Syracuse 	WestVirginia
CentralFlorida 	Akron
CentralFlorida 	NorthernIllinois
CentralFlorida 	Alabama
CentralFlorida 	VirginiaTech
GeorgiaTech 	CentralFlorida
GeorgiaTech 	FloridaState
GeorgiaTech 	NorthCarolinaState
GeorgiaTech 	Virginia
CentralMichigan 	Akron
CentralMichigan 	Wyoming
CentralMichigan 	BoiseState
CentralMichigan 	BallState
CentralMichigan 	WesternMichigan
CentralMichigan 	NorthernIllinois
Purdue 	CentralMichigan
Purdue 	PennState
Purdue 	Michigan
Purdue 	Northwestern
Purdue 	Wisconsin
Colorado 	SouthernCalifornia
Colorado 	KansasState
ColoradoState 	Colorado
ColoradoState 	ArizonaState
ColoradoState 	NewMexico
ColoradoState 	Utah
ColoradoState 	SanDiegoState
ColoradoState 	BrighamYoung
ColoradoState 	Wyoming
Connecticut 	Buffalo
Connecticut 	BostonCollege
Connecticut 	Akron
Connecticut 	BallState
EasternMichigan 	Connecticut
EasternMichigan 	CentralFlorida
EasternMichigan 	BallState
EasternMichigan 	BowlingGreenState
EasternMichigan 	CentralMichigan
EasternMichigan 	NorthernIllinois
EasternMichigan 	WesternMichigan
EastCarolina 	VirginiaTech
EastCarolina 	Syracuse
EastCarolina 	WestVirginia
Duke 	EastCarolina
Duke 	Northwestern
Duke 	Virginia
Duke 	FloridaState
Duke 	GeorgiaTech
Duke 	NorthCarolinaState
FresnoState 	UCLA
OhioState 	FresnoState
OhioState 	Arizona
OhioState 	PennState
OhioState 	Wisconsin
OhioState 	Iowa
OhioState 	Purdue
OhioState 	Michigan
Houston 	EastCarolina
Rice 	Houston
Rice 	Michigan
Rice 	FresnoState
Idaho 	WestVirginia
Idaho 	ArkansasState
Idaho 	NorthTexas
Idaho 	BoiseState
Washington 	Idaho
Washington 	Colorado
Washington 	ArizonaState
Washington 	Arizona
Washington 	UCLA
Kansas 	KansasState
Kansas 	Colorado
