0 2 {}
0 3 {}
0 4 {}
0 5 {}
0 6 {}
0 7 {}
0 8 {}
0 14 {}
0 16 {}
0 27 {}
0 28 {}
0 38 {}
0 40 {}
0 41 {}
0 42 {}
0 46 {}
0 47 {}
0 49 {}
0 56 {}
0 66 {}
0 60 {}
1 2 {}
1 3 {}
1 5 {}
1 6 {}
1 7 {}
1 8 {}
1 9 {}
1 20 {}
1 25 {}
1 32 {}
1 30 {}
1 42 {}
1 47 {}
1 48 {}
1 64 {}
1 60 {}
2 3 {}
2 8 {}
2 31 {}
2 41 {}
2 42 {}
2 43 {}
2 45 {}
2 52 {}
2 66 {}
2 67 {}
3 4 {}
3 6 {}
3 7 {}
3 8 {}
3 20 {}
3 27 {}
3 54 {}
3 57 {}
4 5 {}
4 6 {}
4 22 {}
4 23 {}
4 32 {}
4 36 {}
4 29 {}
4 43 {}
4 46 {}
4 67 {}
5 6 {}
5 8 {}
5 12 {}
5 17 {}
5 18 {}
5 27 {}
5 34 {}
5 42 {}
5 45 {}
5 47 {}
5 56 {}
6 8 {}
6 17 {}
6 21 {}
6 24 {}
6 28 {}
6 30 {}
6 47 {}
6 50 {}
6 51 {}
6 55 {}
6 61 {}
6 62 {}
7 8 {}
7 15 {}
7 16 {}
7 20 {}
7 24 {}
7 25 {}
7 28 {}
7 32 {}
7 33 {}
7 34 {}
7 36 {}
7 37 {}
7 38 {}
7 40 {}
7 48 {}
7 63 {}
8 17 {}
8 22 {}
8 27 {}
8 32 {}
8 38 {}
8 31 {}
8 45 {}
9 10 {}
9 13 {}
9 14 {}
9 15 {}
9 16 {}
9 17 {}
9 18 {}
9 19 {}
9 26 {}
9 31 {}
9 43 {}
9 47 {}
9 50 {}
9 64 {}
9 60 {}
10 11 {}
10 12 {}
10 13 {}
10 14 {}
10 15 {}
10 17 {}
10 18 {}
10 24 {}
10 34 {}
10 31 {}
10 40 {}
10 41 {}
10 46 {}
11 12 {}
11 15 {}
11 16 {}
11 18 {}
11 21 {}
11 22 {}
11 25 {}
11 28 {}
11 32 {}
11 36 {}
11 44 {}
11 66 {}
12 13 {}
12 15 {}
12 16 {}
12 17 {}
12 18 {}
12 21 {}
12 27 {}
12 32 {}
12 38 {}
12 31 {}
12 40 {}
12 42 {}
12 43 {}
12 45 {}
12 65 {}
12 60 {}
12 62 {}
12 63 {}
13 14 {}
13 15 {}
13 16 {}
13 17 {}
13 18 {}
13 23 {}
13 26 {}
13 37 {}
13 30 {}
13 46 {}
13 47 {}
13 48 {}
13 50 {}
13 54 {}
14 15 {}
14 16 {}
14 18 {}
14 41 {}
14 66 {}
14 61 {}
15 16 {}
15 17 {}
15 18 {}
15 30 {}
15 47 {}
15 49 {}
15 64 {}
15 61 {}
15 62 {}
16 17 {}
16 18 {}
16 36 {}
16 40 {}
16 41 {}
16 47 {}
16 53 {}
16 56 {}
16 57 {}
16 61 {}
17 18 {}
17 27 {}
17 35 {}
17 41 {}
17 55 {}
17 56 {}
18 28 {}
18 37 {}
18 39 {}
19 20 {}
19 21 {}
19 22 {}
19 26 {}
19 27 {}
19 28 {}
19 36 {}
19 29 {}
19 44 {}
19 50 {}
20 21 {}
20 22 {}
20 24 {}
20 25 {}
20 26 {}
20 27 {}
20 28 {}
20 35 {}
20 39 {}
20 44 {}
20 54 {}
20 65 {}
20 66 {}
20 67 {}
21 22 {}
21 23 {}
21 24 {}
21 25 {}
21 26 {}
21 27 {}
21 28 {}
21 33 {}
21 35 {}
21 36 {}
21 37 {}
21 30 {}
21 40 {}
21 44 {}
